Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
DRC,29904,,768.0,,26250,,2886,,8.0,149376.0,1627.0,91804946.0,2021-05-02 03:24:00+00:00
Australia,29819,7.0,910.0,,28617,,292,1.0,35.0,16893635.0,656180.0,25745436.0,2021-05-02 03:24:00+00:00
Angola,26815,,600.0,,23913,,2302,10.0,18.0,498853.0,14799.0,33708433.0,2021-05-02 03:24:00+00:00
Rwanda,25225,,335.0,,23345,,1545,2.0,25.0,1316968.0,99639.0,13217357.0,2021-05-02 03:24:00+00:00
Cabo Verde,24127,,220.0,,20711,,3196,23.0,392.0,151483.0,270023.0,561000.0,2021-05-02 03:24:00+00:00
Gabon,23075,,139.0,,19629,,3307,19.0,61.0,731109.0,322199.0,2269124.0,2021-05-02 03:24:00+00:00
Syria,22818,,1598.0,,16992,,4228,,90.0,103566.0,5801.0,17851800.0,2021-05-02 03:24:00+00:00
Guinea,22247,,144.0,,19685,,2418,24.0,11.0,433166.0,32262.0,13426693.0,2021-05-02 03:24:00+00:00
Réunion,20381,,148.0,,18659,,1574,36.0,164.0,101244.0,112416.0,900623.0,2021-05-02 03:24:00+00:00
Mayotte,20094,,170.0,,2964,,16960,3.0,611.0,171277.0,615546.0,278252.0,2021-05-02 03:24:00+00:00
French Guiana,19543,,101.0,,9995,,9447,20.0,331.0,216365.0,709226.0,305072.0,2021-05-02 03:24:00+00:00
French Polynesia,18758,,141.0,,18597,,20,3.0,500.0,26355.0,93372.0,282258.0,2021-05-02 03:24:00+00:00
Eswatini,18458,,671.0,,17748,,39,3.0,573.0,187111.0,159905.0,1170138.0,2021-05-02 03:24:00+00:00
Mauritania,18429,,455.0,,17707,,267,14.0,96.0,234909.0,49449.0,4750525.0,2021-05-02 03:24:00+00:00
Guadeloupe,14555,,198.0,,2242,,12115,18.0,495.0,180000.0,449796.0,400181.0,2021-05-02 03:24:00+00:00
Somalia,13915,,713.0,,5847,,7355,,44.0,111801.0,6876.0,16258940.0,2021-05-02 03:24:00+00:00
Mali,13896,,485.0,,8685,,4726,,23.0,255738.0,12336.0,20731747.0,2021-05-02 03:24:00+00:00
Cambodia,13790,,96.0,,5200,,8494,,6.0,914398.0,54072.0,16910843.0,2021-05-02 03:24:00+00:00
Guyana,13404,,298.0,,11299,,1807,17.0,377.0,123880.0,156868.0,789709.0,2021-05-02 03:24:00+00:00
Burkina Faso,13319,,157.0,,13053,,109,,7.0,179998.0,8421.0,21376120.0,2021-05-02 03:24:00+00:00
Tajikistan,13308,,90.0,,13218,,0,,9.0,,,9714711.0,2021-05-02 03:24:00+00:00
Andorra,13232,,125.0,,12684,,423,18.0,1616.0,193595.0,2502262.0,77368.0,2021-05-02 03:24:00+00:00
Haiti,13094,,254.0,,12148,,692,,22.0,60085.0,5217.0,11517868.0,2021-05-02 03:24:00+00:00
Togo,12992,,123.0,,11249,,1620,,15.0,311597.0,36923.0,8439039.0,2021-05-02 03:24:00+00:00
Belize,12668,,323.0,,12218,,127,1.0,800.0,117641.0,291476.0,403604.0,2021-05-02 03:24:00+00:00
Curaçao,12207,,110.0,,11665,,432,22.0,668.0,95244.0,578460.0,164651.0,2021-05-02 03:24:00+00:00
Hong Kong,11783,,210.0,,11432,,141,3.0,28.0,11193673.0,1483092.0,7547522.0,2021-05-02 03:24:00+00:00
Martinique,11253,,75.0,,98,,11080,33.0,200.0,157145.0,419028.0,375023.0,2021-05-02 03:24:00+00:00
Djibouti,11121,,145.0,,10748,,228,,145.0,149630.0,149643.0,999911.0,2021-05-02 03:24:00+00:00
Papua New Guinea,11119,,115.0,,9302,,1702,,13.0,93283.0,10265.0,9087299.0,2021-05-02 03:24:00+00:00
Trinidad and Tobago,11072,,171.0,,8546,,2355,8.0,122.0,131927.0,94015.0,1403260.0,2021-05-02 03:24:00+00:00
Lesotho,10731,,316.0,,6267,,4148,,147.0,79490.0,36863.0,2156361.0,2021-05-02 03:24:00+00:00
Congo,10678,,144.0,,8208,,2326,,26.0,92500.0,16429.0,5630256.0,2021-05-02 03:24:00+00:00
Aruba,10650,,99.0,,10402,,149,14.0,924.0,148931.0,1390021.0,107143.0,2021-05-02 03:24:00+00:00
South Sudan,10583,,115.0,,10312,,156,,10.0,151582.0,13411.0,11302639.0,2021-05-02 03:24:00+00:00
Bahamas,10453,,199.0,,9494,,760,4.0,502.0,86984.0,219454.0,396365.0,2021-05-02 03:24:00+00:00
Suriname,10428,,204.0,,9359,,865,26.0,345.0,51013.0,86317.0,590998.0,2021-05-02 03:24:00+00:00
Benin,7821,,99.0,,7580,,142,35.0,8.0,590214.0,47654.0,12385279.0,2021-05-02 03:24:00+00:00
Equatorial Guinea,7694,,112.0,,7279,,303,7.0,78.0,123169.0,85479.0,1440927.0,2021-05-02 03:24:00+00:00
Nicaragua,6898,,182.0,,4225,,2491,,27.0,,,6689960.0,2021-05-02 03:24:00+00:00
Iceland,6472,,29.0,,6253,,190,4.0,85.0,600005.0,1748857.0,343084.0,2021-05-02 03:24:00+00:00
CAR,6411,,88.0,,5112,,1211,2.0,18.0,40907.0,8350.0,4899311.0,2021-05-02 03:24:00+00:00
Yemen,6325,,1229.0,,2794,,2302,23.0,40.0,24923.0,821.0,30369014.0,2021-05-02 03:24:00+00:00
Gambia,5898,,174.0,,5357,,367,3.0,70.0,71116.0,28761.0,2472661.0,2021-05-02 03:24:00+00:00
Seychelles,5873,,28.0,,5101,,744,,283.0,21504.0,217535.0,98853.0,2021-05-02 03:24:00+00:00
Niger,5229,,191.0,,4855,,183,18.0,8.0,99176.0,3979.0,24926972.0,2021-05-02 03:24:00+00:00
San Marino,5066,,90.0,,4917,,59,4.0,2648.0,61499.0,1809326.0,33990.0,2021-05-02 03:24:00+00:00
