Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Nepal,336030,7137.0,3325.0,27.0,283994,1612.0,48711,,112.0,2504476.0,84690.0,29572148.0,2021-05-03 01:01:00+00:00
Croatia,335173,944.0,7182.0,52.0,314839,2016.0,13152,240.0,1759.0,1822875.0,446338.0,4084069.0,2021-05-03 01:01:00+00:00
Kazakhstan,325499,2804.0,3717.0,18.0,278584,1607.0,43198,221.0,196.0,10190393.0,537363.0,18963698.0,2021-05-03 01:01:00+00:00
Azerbaijan,321380,1058.0,4561.0,23.0,293689,2125.0,23130,,446.0,3262655.0,319388.0,10215343.0,2021-05-03 01:01:00+00:00
Georgia,312445,988.0,4151.0,21.0,293052,1595.0,15242,,1042.0,4218198.0,1059113.0,3982763.0,2021-05-03 01:01:00+00:00
Tunisia,311743,1009.0,10868.0,60.0,262602,1050.0,38273,521.0,912.0,1323656.0,111030.0,11921634.0,2021-05-03 01:01:00+00:00
Bolivia,306527,933.0,13009.0,34.0,252780,1116.0,40738,71.0,1102.0,1178553.0,99831.0,11805509.0,2021-05-03 01:01:00+00:00
Palestine,297638,512.0,3272.0,15.0,275392,1117.0,18974,146.0,629.0,1748434.0,336255.0,5199729.0,2021-05-03 01:01:00+00:00
Paraguay,282543,1520.0,6572.0,96.0,233453,1936.0,42518,508.0,912.0,1109043.0,153917.0,7205473.0,2021-05-03 01:01:00+00:00
Kuwait,276586,1316.0,1578.0,9.0,260008,1409.0,15000,208.0,365.0,2343069.0,541988.0,4323100.0,2021-05-03 01:01:00+00:00
Dominican Republic,267455,594.0,3493.0,6.0,227924,657.0,36038,189.0,319.0,1410731.0,128969.0,10938541.0,2021-05-03 01:01:00+00:00
Ethiopia,258384,322.0,3726.0,17.0,200508,360.0,54150,883.0,32.0,2586083.0,22042.0,117323008.0,2021-05-03 01:01:00+00:00
Denmark,252912,867.0,2490.0,1.0,240569,656.0,9853,37.0,429.0,38718735.0,6665034.0,5809233.0,2021-05-03 01:01:00+00:00
Moldova,251335,175.0,5838.0,12.0,240824,431.0,4673,199.0,1450.0,995385.0,247232.0,4026121.0,2021-05-03 01:01:00+00:00
Costa Rica,250991,,3231.0,,203009,,44751,380.0,629.0,974477.0,189850.0,5132885.0,2021-05-03 01:01:00+00:00
Ireland,249838,401.0,4906.0,,232281,584.0,12651,41.0,984.0,4512912.0,905531.0,4983721.0,2021-05-03 01:01:00+00:00
Lithuania,249680,949.0,3950.0,12.0,224833,184.0,20897,223.0,1468.0,2831332.0,1052377.0,2690416.0,2021-05-03 01:01:00+00:00
Slovenia,241672,362.0,4263.0,5.0,227883,472.0,9526,152.0,2050.0,1180616.0,567829.0,2079177.0,2021-05-03 01:01:00+00:00
Egypt,229635,1051.0,13469.0,67.0,172342,800.0,43824,90.0,130.0,2715258.0,26124.0,103937253.0,2021-05-03 01:01:00+00:00
Guatemala,228684,207.0,7558.0,15.0,205365,1224.0,15761,5.0,415.0,1265849.0,69587.0,18190819.0,2021-05-03 01:01:00+00:00
Armenia,216863,267.0,4139.0,11.0,199755,640.0,12969,,1395.0,991027.0,333919.0,2967870.0,2021-05-03 01:01:00+00:00
Honduras,213167,834.0,5318.0,37.0,78806,183.0,129043,566.0,530.0,629447.0,62722.0,10035572.0,2021-05-03 01:01:00+00:00
Qatar,206948,646.0,472.0,7.0,192551,1480.0,13925,341.0,168.0,1913127.0,681360.0,2807805.0,2021-05-03 01:01:00+00:00
Uruguay,202492,1584.0,2724.0,55.0,173769,3019.0,25999,556.0,782.0,1820840.0,522662.0,3483782.0,2021-05-03 01:01:00+00:00
Venezuela,198865,,2155.0,,180301,,16409,317.0,76.0,3359014.0,118406.0,28368540.0,2021-05-03 01:01:00+00:00
Bosnia and Herzegovina,198461,,8551.0,,159223,,30687,,2620.0,907054.0,277919.0,3263731.0,2021-05-03 01:01:00+00:00
Oman,195807,2554.0,2043.0,33.0,176833,3710.0,16931,276.0,392.0,1550000.0,297265.0,5214205.0,2021-05-03 01:01:00+00:00
Bahrain,179297,1300.0,651.0,3.0,167852,1001.0,10794,98.0,372.0,4124188.0,2356156.0,1750388.0,2021-05-03 01:01:00+00:00
Libya,177871,363.0,3039.0,10.0,163716,525.0,11116,,437.0,961088.0,138305.0,6949039.0,2021-05-03 01:01:00+00:00
Nigeria,165153,43.0,2063.0,,155109,8.0,7981,11.0,10.0,1912628.0,9092.0,210372768.0,2021-05-03 01:01:00+00:00
Kenya,160422,369.0,2763.0,19.0,108861,72.0,48798,190.0,50.0,1679779.0,30679.0,54753700.0,2021-05-03 01:01:00+00:00
North Macedonia,152685,104.0,4936.0,45.0,133473,403.0,14276,124.0,2369.0,724668.0,347846.0,2083303.0,2021-05-03 01:01:00+00:00
Myanmar,142838,7.0,3209.0,,131981,9.0,7648,,59.0,2579427.0,47144.0,54714033.0,2021-05-03 01:01:00+00:00
Albania,131238,53.0,2397.0,1.0,110920,748.0,17921,18.0,834.0,637851.0,221848.0,2875170.0,2021-05-03 01:01:00+00:00
S. Korea,123240,606.0,1833.0,2.0,112865,528.0,8542,170.0,36.0,8898234.0,173434.0,51306055.0,2021-05-03 01:01:00+00:00
Estonia,122685,174.0,1168.0,2.0,112267,260.0,9250,57.0,880.0,1293019.0,974186.0,1327281.0,2021-05-03 01:01:00+00:00
Algeria,122522,211.0,3270.0,9.0,85398,149.0,33854,28.0,73.0,230861.0,5187.0,44508817.0,2021-05-03 01:01:00+00:00
Latvia,119750,380.0,2144.0,5.0,108949,,8657,84.0,1147.0,2308662.0,1235429.0,1868713.0,2021-05-03 01:01:00+00:00
Norway,113469,210.0,756.0,,88952,,23761,36.0,139.0,5212177.0,955209.0,5456585.0,2021-05-03 01:01:00+00:00
Sri Lanka,111753,1891.0,687.0,,97242,764.0,13824,,32.0,2733805.0,127224.0,21488197.0,2021-05-03 01:01:00+00:00
Cuba,108693,1071.0,664.0,10.0,102339,864.0,5690,113.0,59.0,3677091.0,324807.0,11320836.0,2021-05-03 01:01:00+00:00
