Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
Honduras,227516,5970.0,82920,138626,536.0,594.0,681751.0,67887.0,10042463.0,797,10.0,318,469,2021-05-19 02:01:00+00:00
Armenia,221139,4346.0,209222,7571,,1464.0,1042821.0,351342.0,2968111.0,212,13.0,323,-124,2021-05-19 02:01:00+00:00
Venezuela,216415,2411.0,200381,13623,316.0,85.0,3359014.0,118421.0,28365033.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Qatar,213855,536.0,208614,4705,179.0,191.0,1977199.0,704180.0,2807805.0,370,4.0,818,-452,2021-05-19 02:01:00+00:00
Oman,207109,2219.0,191539,13351,244.0,425.0,1550000.0,296940.0,5219901.0,812,13.0,474,325,2021-05-19 02:01:00+00:00
Bahrain,204524,765.0,186961,16798,187.0,436.0,4393681.0,2506395.0,1752988.0,1968,13.0,1342,613,2021-05-19 02:01:00+00:00
Bosnia and Herzegovina,202675,9070.0,170256,23349,,2780.0,949432.0,290983.0,3262844.0,185,19.0,801,-635,2021-05-19 02:01:00+00:00
Libya,182012,3097.0,168785,10130,,445.0,989906.0,142369.0,6953124.0,298,5.0,407,-114,2021-05-19 02:01:00+00:00
Kenya,166006,3021.0,113917,49068,108.0,55.0,1752693.0,31980.0,54805598.0,469,8.0,43,418,2021-05-19 02:01:00+00:00
Nigeria,165778,2067.0,156415,7296,11.0,10.0,2002653.0,9509.0,210596796.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
North Macedonia,154804,5232.0,146302,3270,111.0,2511.0,760498.0,365045.0,2083299.0,79,2.0,259,-182,2021-05-19 02:01:00+00:00
Sri Lanka,147720,1015.0,121145,25560,,47.0,3075321.0,143091.0,21492112.0,2518,34.0,1516,968,2021-05-19 02:01:00+00:00
Myanmar,143131,3213.0,132135,7783,,59.0,2604997.0,47597.0,54729953.0,34,0.0,12,22,2021-05-19 02:01:00+00:00
S. Korea,133471,1912.0,123237,8322,148.0,37.0,9428644.0,183766.0,51307978.0,653,8.0,606,39,2021-05-19 02:01:00+00:00
Albania,132071,2436.0,126405,3230,18.0,847.0,677041.0,235490.0,2875033.0,39,1.0,986,-948,2021-05-19 02:01:00+00:00
Latvia,128688,2280.0,117799,8609,71.0,1221.0,2513111.0,1345487.0,1867808.0,563,11.0,0,552,2021-05-19 02:01:00+00:00
Estonia,127500,1229.0,119428,6843,32.0,926.0,1368541.0,1031057.0,1327319.0,294,6.0,656,-368,2021-05-19 02:01:00+00:00
Cuba,126755,826.0,119161,6768,130.0,73.0,4037878.0,356686.0,11320535.0,1244,12.0,1412,-180,2021-05-19 02:01:00+00:00
Algeria,125693,3388.0,87609,34696,28.0,76.0,230861.0,5183.0,44543478.0,208,7.0,133,68,2021-05-19 02:01:00+00:00
Norway,119814,774.0,88952,30088,22.0,142.0,5507549.0,1008998.0,5458436.0,314,0.0,0,314,2021-05-19 02:01:00+00:00
Thailand,113555,649.0,69918,42988,1228.0,9.0,8124896.0,116146.0,69953897.0,2473,35.0,2718,-280,2021-05-19 02:01:00+00:00
Kyrgyzstan,100966,1718.0,94168,5080,86.0,260.0,1065529.0,160996.0,6618372.0,234,7.0,282,-55,2021-05-19 02:01:00+00:00
Montenegro,98971,1564.0,96097,1310,60.0,2490.0,397322.0,632541.0,628136.0,73,2.0,98,-27,2021-05-19 02:01:00+00:00
Uzbekistan,97068,672.0,92582,3814,23.0,20.0,1377915.0,40654.0,33893889.0,175,2.0,279,-106,2021-05-19 02:01:00+00:00
Ghana,93390,783.0,91299,1308,8.0,25.0,1123985.0,35525.0,31639572.0,57,0.0,47,10,2021-05-19 02:01:00+00:00
Zambia,92520,1263.0,90892,365,40.0,67.0,1479497.0,78560.0,18832593.0,60,2.0,30,28,2021-05-19 02:01:00+00:00
China,90908,4636.0,85976,296,3.0,3.0,160000000.0,111163.0,1439323776.0,14,0.0,13,1,2021-05-19 02:01:00+00:00
Finland,90398,929.0,46000,43469,25.0,167.0,4794557.0,864151.0,5548286.0,149,-4.0,0,153,2021-05-19 02:01:00+00:00
Cameroon,77429,1189.0,70497,5743,385.0,44.0,1518411.0,55984.0,27122305.0,2483,37.0,0,2446,2021-05-19 02:01:00+00:00
El Salvador,71479,2195.0,66903,2381,22.0,337.0,956458.0,146810.0,6514945.0,0,4.0,0,-4,2021-05-19 02:01:00+00:00
Cyprus,71398,348.0,39061,31989,49.0,286.0,5988958.0,4928891.0,1215072.0,167,1.0,0,166,2021-05-19 02:01:00+00:00
Mozambique,70485,828.0,68749,908,21.0,26.0,538679.0,16824.0,32018476.0,22,0.0,18,4,2021-05-19 02:01:00+00:00
Luxembourg,69239,808.0,66619,1812,30.0,1273.0,2787646.0,4390761.0,634889.0,174,0.0,436,-262,2021-05-19 02:01:00+00:00
Afghanistan,64122,2762.0,55118,6242,1124.0,70.0,434506.0,10946.0,39693795.0,303,11.0,108,184,2021-05-19 02:01:00+00:00
Singapore,61651,31.0,61134,486,5.0,5.0,11064019.0,1878214.0,5890712.0,38,0.0,11,27,2021-05-19 02:01:00+00:00
Namibia,51636,733.0,48445,2458,56.0,284.0,413177.0,160075.0,2581143.0,246,10.0,90,146,2021-05-19 02:01:00+00:00
Botswana,50800,774.0,47477,2549,1.0,323.0,1105082.0,461775.0,2393117.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Mongolia,49524,221.0,42721,6582,103.0,66.0,2840929.0,854547.0,3324487.0,349,7.0,877,-535,2021-05-19 02:01:00+00:00
Jamaica,47479,878.0,23410,23191,18.0,295.0,357002.0,120101.0,2972519.0,83,15.0,129,-61,2021-05-19 02:01:00+00:00
Maldives,47421,105.0,29086,18230,90.0,191.0,802394.0,1461902.0,548870.0,1465,4.0,237,1224,2021-05-19 02:01:00+00:00
Ivory Coast,46708,298.0,46176,234,,11.0,619741.0,22998.0,26948125.0,47,0.0,61,-14,2021-05-19 02:01:00+00:00
Uganda,42930,349.0,42429,152,24.0,7.0,1064201.0,22643.0,46998133.0,71,2.0,0,69,2021-05-19 02:01:00+00:00
Senegal,40896,1128.0,39614,154,9.0,66.0,500044.0,29193.0,17128644.0,24,1.0,17,6,2021-05-19 02:01:00+00:00
Madagascar,40326,774.0,38166,1386,245.0,27.0,196451.0,6939.0,28311848.0,122,3.0,221,-102,2021-05-19 02:01:00+00:00
Zimbabwe,38595,1583.0,36371,641,12.0,105.0,449945.0,29892.0,15052353.0,23,1.0,22,0,2021-05-19 02:01:00+00:00
Sudan,34272,2446.0,27949,3877,,55.0,232965.0,5207.0,44742878.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Malawi,34231,1153.0,32246,832,11.0,59.0,239715.0,12255.0,19561032.0,15,0.0,5,10,2021-05-19 02:01:00+00:00
Angola,31045,685.0,26013,4347,19.0,20.0,531492.0,15745.0,33756143.0,258,8.0,18,232,2021-05-19 02:01:00+00:00
DRC,30620,776.0,26603,3241,,8.0,155600.0,1693.0,91931986.0,11,0.0,0,11,2021-05-19 02:01:00+00:00
Malta,30486,417.0,29941,128,,942.0,900491.0,2034658.0,442576.0,2,0.0,21,-19,2021-05-19 02:01:00+00:00
Australia,29992,910.0,28900,182,1.0,35.0,17639676.0,684792.0,25759174.0,9,0.0,0,9,2021-05-19 02:01:00+00:00
Cabo Verde,28410,252.0,25581,2577,23.0,449.0,158645.0,282649.0,561280.0,129,1.0,149,-21,2021-05-19 02:01:00+00:00
Rwanda,26344,346.0,24808,1190,2.0,26.0,1380803.0,104351.0,13232315.0,129,1.0,44,84,2021-05-19 02:01:00+00:00
Gabon,23909,145.0,20556,3208,16.0,64.0,772653.0,340141.0,2271570.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Syria,23830,1710.0,21360,760,,96.0,103566.0,5795.0,17871604.0,42,5.0,287,-250,2021-05-19 02:01:00+00:00
Réunion,23566,176.0,21709,1681,31.0,195.0,102720.0,114017.0,900919.0,922,7.0,106,809,2021-05-19 02:01:00+00:00
Cambodia,22889,156.0,14343,8390,,9.0,1079873.0,63816.0,16921592.0,345,2.0,1337,-994,2021-05-19 02:01:00+00:00
